Card Number,Gender Male,Gender Female,Description
221198,Male,,ACLO Card 2020-2021
194798,,Female,ACLO Card 2020-2021
213010,,Female,ACLO Card 2020-2021
221208,,Female,ACLO Card 2020-2021
221210,,Female,ACLO Card 2020-2021
185215,,Female,ACLO Card 2020-2021
213789,,Female,ACLO Card 2020-2021
212949,,Female,ACLO Card 2020-2021
221216,Male,,ACLO Card 2020-2021
204342,Male,,ACLO Card 2020-2021
213746,,Female,ACLO Card 2020-2021
221219,,Female,ACLO Card 2020-2021
221219,,Female,ACLO Card 2020-2021
221165,,Female,ACLO Card 2020-2021
221222,,Female,ACLO Card 2020-2021
220955,Male,,ACLO Card 2020-2021
209386,,Female,ACLO Card 2020-2021
198766,Male,,ACLO Card 2020-2021
220789,,Female,ACLO Card 2020-2021
221000,Male,,ACLO Card 2020-2021
212605,Male,,ACLO Card 2020-2021
212575,Male,,ACLO Card 2020-2021
221232,Male,,ACLO Card 2020-2021
212476,,Female,ACLO Card 2020-2021
221153,,Female,ACLO Card 2020-2021
221231,Male,,ACLO Card 2020-2021
206310,,Female,ACLO Card 2020-2021
221233,Male,,ACLO Card 2020-2021
221070,Male,,ACLO Card 2020-2021
221235,Male,,ACLO Card 2020-2021
202744,,Female,ACLO Card 2020-2021
220674,,Female,ACLO Card 2020-2021
203844,Male,,ACLO Card 2020-2021
219260,,Female,ACLO Card 2020-2021
221145,Male,,ACLO Card 2020-2021
221242,Male,,ACLO Card 2020-2021
212565,,Female,ACLO Card 2020-2021
188034,,Female,ACLO Card 2020-2021
221166,Male,,ACLO Card 2020-2021
221247,,Female,ACLO Card 2020-2021
212609,,Female,ACLO Card 2020-2021
221249,,Female,ACLO Card 2020-2021
221250,Male,,ACLO Card 2020-2021
220912,,Female,ACLO Card 2020-2021
221049,,Female,ACLO Card 2020-2021
204184,,Female,ACLO Card 2020-2021
190213,,Female,ACLO Card 2020-2021
181727,,Female,ACLO Card 2020-2021
220932,,Female,ACLO Card 2020-2021
221256,,Female,ACLO Card 2020-2021
221257,,Female,ACLO Card 2020-2021
221202,,Female,ACLO Card 2020-2021
197499,,Female,ACLO Card 2020-2021
180147,,Female,ACLO Card 2020-2021
216764,,Female,ACLO Card 2020-2021
220956,,Female,ACLO Card 2020-2021
221215,,Female,ACLO Card 2020-2021
221272,Male,,ACLO Card 2020-2021
207391,,Female,ACLO Card 2020-2021
221269,Male,,ACLO Card 2020-2021
206845,,Female,ACLO Card 2020-2021
221265,,Female,ACLO Card 2020-2021
212222,,Female,ACLO Card 2020-2021
220837,,Female,ACLO Card 2020-2021
221126,Male,,ACLO Card 2020-2021
221276,,Female,ACLO Card 2020-2021
221284,Male,,ACLO Card 2020-2021
221285,Male,,ACLO Card 2020-2021
166527,,Female,ACLO Card 2020-2021
220143,,Female,ACLO Card 2020-2021
221287,Male,,ACLO Card 2020-2021
212217,,Female,ACLO Card 2020-2021
220902,,Female,ACLO Card 2020-2021
205170,,Female,ACLO Card 2020-2021
221292,,Female,ACLO Card 2020-2021
213536,Male,,ACLO Card 2020-2021
221295,,Female,ACLO Card 2020-2021
221209,,Female,ACLO Card 2020-2021
194747,,Female,ACLO Card 2020-2021
221302,Male,,ACLO Card 2020-2021
213410,,Female,ACLO Card 2020-2021
220845,,Female,ACLO Card 2020-2021
209456,,Female,ACLO Card 2020-2021
150711,,Female,ACLO Card 2020-2021
209941,,Female,ACLO Card 2020-2021
197216,Male,,ACLO Card 2020-2021
216610,Male,,ACLO Card 2020-2021
221181,Male,,ACLO Card 2020-2021
221104,,Female,ACLO Card 2020-2021
159331,,Female,ACLO Card 2020-2021
221311,Male,,ACLO Card 2020-2021
221312,Male,,ACLO Card 2020-2021
206254,,Female,ACLO Card 2020-2021
220655,,Female,ACLO Card 2020-2021
221140,,Female,ACLO Card 2020-2021
161473,,Female,ACLO Card 2020-2021
185338,Male,,ACLO Card 2020-2021
221318,Male,,ACLO Card 2020-2021
199481,,Female,ACLO Card 2020-2021
212723,Male,,ACLO Card 2020-2021
202594,,Female,ACLO Card 2020-2021
203761,Male,,ACLO Card 2020-2021
193453,Male,,ACLO Card 2020-2021
221314,,Female,ACLO Card 2020-2021
221325,,Female,ACLO Card 2020-2021
221327,,Female,ACLO Card 2020-2021
221329,,Female,ACLO Card 2020-2021
221328,Male,,ACLO Card 2020-2021
221331,Male,,ACLO Card 2020-2021
204716,Male,,ACLO Card 2020-2021
159667,Male,,ACLO Card 2020-2021
221100,,Female,ACLO Card 2020-2021
180178,,Female,ACLO Card 2020-2021
205565,Male,,ACLO Card 2020-2021
221333,,Female,ACLO Card 2020-2021
221334,,Female,ACLO Card 2020-2021
221163,Male,,ACLO Card 2020-2021
221340,Male,,ACLO Card 2020-2021
221341,,Female,ACLO Card 2020-2021
221263,,Female,ACLO Card 2020-2021
216023,,Female,ACLO Card 2020-2021
221343,,Female,ACLO Card 2020-2021
220884,Male,,ACLO Card 2020-2021
221345,,Female,ACLO Card 2020-2021
221347,Male,,ACLO Card 2020-2021
220909,Male,,ACLO Card 2020-2021
216778,,Female,ACLO Card 2020-2021
221351,,,ACLO Card 2020-2021
205776,,Female,ACLO Card 2020-2021
139294,Male,,ACLO Card 2020-2021
221353,,Female,ACLO Card 2020-2021
213357,,Female,ACLO Card 2020-2021
221358,Male,,ACLO Card 2020-2021
221359,,Female,ACLO Card 2020-2021
221338,,Female,ACLO Card 2020-2021
205406,,Female,ACLO Card 2020-2021
221364,,Female,ACLO Card 2020-2021
212806,,Female,ACLO Card 2020-2021
221365,Male,,ACLO Card 2020-2021
221300,,Female,ACLO Card 2020-2021
221369,,Female,ACLO Card 2020-2021
221367,Male,,ACLO Card 2020-2021
219544,Male,,ACLO Card 2020-2021
179731,,Female,ACLO Card 2020-2021
193542,Male,,ACLO Card 2020-2021
208885,,Female,ACLO Card 2020-2021
210734,,Female,ACLO Card 2020-2021
221375,,Female,ACLO Card 2020-2021
221376,,Female,ACLO Card 2020-2021
219320,,Female,ACLO Card 2020-2021
165791,Male,,ACLO Card 2020-2021
206834,Male,,ACLO Card 2020-2021
212664,,Female,ACLO Card 2020-2021
221291,,Female,ACLO Card 2020-2021
220112,Male,,ACLO Card 2020-2021
221379,Male,,ACLO Card 2020-2021
205242,,Female,ACLO Card 2020-2021
190815,,Female,ACLO Card 2020-2021
175777,,Female,ACLO Card 2020-2021
221382,Male,,ACLO Card 2020-2021
221383,Male,,ACLO Card 2020-2021
196604,,Female,ACLO Card 2020-2021
221268,Male,,ACLO Card 2020-2021
221385,,Female,ACLO Card 2020-2021
220342,Male,,ACLO Card 2020-2021
213080,,Female,ACLO Card 2020-2021
220390,Male,,ACLO Card 2020-2021
221386,,Female,ACLO Card 2020-2021
221387,,,ACLO Card 2020-2021
203609,Male,,ACLO Card 2020-2021
185365,,Female,ACLO Card 2020-2021
201464,,Female,ACLO Card 2020-2021
221390,,,ACLO Card 2020-2021
221388,Male,,ACLO Card 2020-2021
221336,,,ACLO Card 2020-2021
221391,,Female,ACLO Card 2020-2021
221396,Male,,ACLO Card 2020-2021
212894,,Female,ACLO Card 2020-2021
221395,Male,,ACLO Card 2020-2021
215501,,Female,ACLO Card 2020-2021
221397,Male,,ACLO Card 2020-2021
221398,,Female,ACLO Card 2020-2021
221399,Male,,ACLO Card 2020-2021
221400,Male,,ACLO Card 2020-2021
221401,Male,,ACLO Card 2020-2021
221402,,Female,ACLO Card 2020-2021
185698,,Female,ACLO Card 2020-2021
215003,,Female,ACLO Card 2020-2021
208762,Male,,ACLO Card 2020-2021
221405,Male,,ACLO Card 2020-2021
221404,Male,,ACLO Card 2020-2021
221260,Male,,ACLO Card 2020-2021
221406,Male,,ACLO Card 2020-2021
221407,,Female,ACLO Card 2020-2021
173469,,Female,ACLO Card 2020-2021
216544,,Female,ACLO Card 2020-2021
186574,,Female,ACLO Card 2020-2021
180333,,Female,ACLO Card 2020-2021
221410,,Female,ACLO Card 2020-2021
221411,,,ACLO Card 2020-2021
221412,,Female,ACLO Card 2020-2021
203650,,Female,ACLO Card 2020-2021
215390,,Female,ACLO Card 2020-2021
221414,,,ACLO Card 2020-2021
221417,,Female,ACLO Card 2020-2021
221297,Male,,ACLO Card 2020-2021
221419,,Female,ACLO Card 2020-2021
220887,,Female,ACLO Card 2020-2021
221294,,Female,ACLO Card 2020-2021
150851,Male,,ACLO Card 2020-2021
212875,,Female,ACLO Card 2020-2021
221420,,Female,ACLO Card 2020-2021
221421,Male,,ACLO Card 2020-2021
195423,,Female,ACLO Card 2020-2021
221223,,Female,ACLO Card 2020-2021
221425,,Female,ACLO Card 2020-2021
199438,Male,,ACLO Card 2020-2021
167444,Male,,ACLO Card 2020-2021
155584,Male,,ACLO Card 2020-2021
221428,,Female,ACLO Card 2020-2021
219083,,Female,ACLO Card 2020-2021
221429,Male,,ACLO Card 2020-2021
221431,,,ACLO Card 2020-2021
207081,,Female,ACLO Card 2020-2021
206766,,Female,ACLO Card 2020-2021
221434,Male,,ACLO Card 2020-2021
206911,,Female,ACLO Card 2020-2021
221435,Male,,ACLO Card 2020-2021
221436,Male,,ACLO Card 2020-2021
204702,,Female,ACLO Card 2020-2021
221439,Male,,ACLO Card 2020-2021
158795,Male,,ACLO Card 2020-2021
197276,Male,,ACLO Card 2020-2021
200100,Male,,ACLO Card 2020-2021
169410,,Female,ACLO Card 2020-2021
220807,Male,,ACLO Card 2020-2021
208112,,Female,ACLO Card 2020-2021
220852,,Female,ACLO Card 2020-2021
220816,,Female,ACLO Card 2020-2021
221443,,Female,ACLO Card 2020-2021
176878,,Female,ACLO Card 2020-2021
221254,,Female,ACLO Card 2020-2021
213016,Male,,ACLO Card 2020-2021
180691,,Female,ACLO Card 2020-2021
221281,Male,,ACLO Card 2020-2021
221448,Male,,ACLO Card 2020-2021
221449,Male,,ACLO Card 2020-2021
220953,,Female,ACLO Card 2020-2021
216090,,Female,ACLO Card 2020-2021
221453,,Female,ACLO Card 2020-2021
221454,Male,,ACLO Card 2020-2021
204052,Male,,ACLO Card 2020-2021
214377,Male,,ACLO Card 2020-2021
205326,,Female,ACLO Card 2020-2021
210566,,Female,ACLO Card 2020-2021
212085,,Female,ACLO Card 2020-2021
220821,,Female,ACLO Card 2020-2021
221458,,Female,ACLO Card 2020-2021
221459,,Female,ACLO Card 2020-2021
215417,,Female,ACLO Card 2020-2021
221460,,Female,ACLO Card 2020-2021
220914,,Female,ACLO Card 2020-2021
221277,,Female,ACLO Card 2020-2021
212741,,Female,ACLO Card 2020-2021
221461,Male,,ACLO Card 2020-2021
221462,,Female,ACLO Card 2020-2021
193162,,Female,ACLO Card 2020-2021
213290,,Female,ACLO Card 2020-2021
221465,Male,,ACLO Card 2020-2021
210595,,Female,ACLO Card 2020-2021
208597,,Female,ACLO Card 2020-2021
187165,,Female,ACLO Card 2020-2021
216499,Male,,ACLO Card 2020-2021
221471,Male,,ACLO Card 2020-2021
196599,,Female,ACLO Card 2020-2021
221183,,Female,ACLO Card 2020-2021
214093,,Female,ACLO Card 2020-2021
221474,,Female,ACLO Card 2020-2021
180661,,Female,ACLO Card 2020-2021
167380,Male,,ACLO Card 2020-2021
206626,,Female,ACLO Card 2020-2021
221477,,Female,ACLO Card 2020-2021
221310,,Female,ACLO Card 2020-2021
221455,,Female,ACLO Card 2020-2021
218355,Male,,ACLO Card 2020-2021
160219,,Female,ACLO Card 2020-2021
221346,,Female,ACLO Card 2020-2021
221483,,Female,ACLO Card 2020-2021
214779,,Female,ACLO Card 2020-2021
221485,Male,,ACLO Card 2020-2021
221484,Male,,ACLO Card 2020-2021
221423,,Female,ACLO Card 2020-2021
181859,,Female,ACLO Card 2020-2021
189575,,Female,ACLO Card 2020-2021
212597,,Female,ACLO Card 2020-2021
221488,Male,,ACLO Card 2020-2021
221488,Male,,ACLO Card 2020-2021
221488,Male,,ACLO Card 2020-2021
221275,Male,,ACLO Card 2020-2021
196591,,Female,ACLO Card 2020-2021
213957,,Female,ACLO Card 2020-2021
221492,Male,,ACLO Card 2020-2021
221491,Male,,ACLO Card 2020-2021
221466,,Female,ACLO Card 2020-2021
221496,Male,,ACLO Card 2020-2021
221500,,Female,ACLO Card 2020-2021
221271,,Female,ACLO Card 2020-2021
221502,,Female,ACLO Card 2020-2021
221499,,Female,ACLO Card 2020-2021
221112,,Female,ACLO Card 2020-2021
221470,,Female,ACLO Card 2020-2021
220906,,Female,ACLO Card 2020-2021
221505,,Female,ACLO Card 2020-2021
219203,Male,,ACLO Card 2020-2021
186091,,Female,ACLO Card 2020-2021
221506,Male,,ACLO Card 2020-2021
221511,,Female,ACLO Card 2020-2021
220092,Male,,ACLO Card 2020-2021
195706,,Female,ACLO Card 2020-2021
187710,,Female,ACLO Card 2020-2021
221513,Male,,ACLO Card 2020-2021
218830,Male,,ACLO Card 2020-2021
221514,Male,,ACLO Card 2020-2021
218320,,Female,ACLO Card 2020-2021
221515,,Female,ACLO Card 2020-2021
221516,,Female,ACLO Card 2020-2021
221155,,Female,ACLO Card 2020-2021
221519,Male,,ACLO Card 2020-2021
203256,,Female,ACLO Card 2020-2021
185264,,Female,ACLO Card 2020-2021
178241,,Female,ACLO Card 2020-2021
212329,,Female,ACLO Card 2020-2021
221526,,,ACLO Card 2020-2021
220191,Male,,ACLO Card 2020-2021
206719,,Female,ACLO Card 2020-2021
220926,,Female,ACLO Card 2020-2021
212277,,Female,ACLO Card 2020-2021
221532,,Female,ACLO Card 2020-2021
201075,Male,,ACLO Card 2020-2021
203965,Male,,ACLO Card 2020-2021
166366,,Female,ACLO Card 2020-2021
219310,,Female,ACLO Card 2020-2021
220213,Male,,ACLO Card 2020-2021
198053,Male,,ACLO Card 2020-2021
221323,,Female,ACLO Card 2020-2021
221531,Male,,ACLO Card 2020-2021
220860,,Female,ACLO Card 2020-2021
221541,Male,,ACLO Card 2020-2021
221539,,Female,ACLO Card 2020-2021
221225,,Female,ACLO Card 2020-2021
211022,,Female,ACLO Card 2020-2021
190203,Male,,ACLO Card 2020-2021
221543,Male,,ACLO Card 2020-2021
221545,,Female,ACLO Card 2020-2021
200881,,Female,ACLO Card 2020-2021
221547,,Female,ACLO Card 2020-2021
186443,,Female,ACLO Card 2020-2021
197599,,Female,ACLO Card 2020-2021
221548,,Female,ACLO Card 2020-2021
213389,,Female,ACLO Card 2020-2021
220924,,Female,ACLO Card 2020-2021
212787,Male,,ACLO Card 2020-2021
212668,,Female,ACLO Card 2020-2021
215069,Male,,ACLO Card 2020-2021
217074,Male,,ACLO Card 2020-2021
213166,Male,,ACLO Card 2020-2021
200354,,Female,ACLO Card 2020-2021
221557,,Female,ACLO Card 2020-2021
198696,,Female,ACLO Card 2020-2021
200988,,Female,ACLO Card 2020-2021
185755,,Female,ACLO Card 2020-2021
209627,,Female,ACLO Card 2020-2021
213005,,Female,ACLO Card 2020-2021
191125,,Female,ACLO Card 2020-2021
221522,,Female,ACLO Card 2020-2021
221546,,Female,ACLO Card 2020-2021
221546,,Female,ACLO Card 2020-2021
221332,,Female,ACLO Card 2020-2021
221565,Male,,ACLO Card 2020-2021
221489,,Female,ACLO Card 2020-2021
221546,,Female,ACLO Card 2020-2021
221567,,Female,ACLO Card 2020-2021
208422,,Female,ACLO Card 2020-2021
220653,,Female,ACLO Card 2020-2021
221574,,Female,ACLO Card 2020-2021
188796,,Female,ACLO Card 2020-2021
221575,Male,,ACLO Card 2020-2021
221576,Male,,ACLO Card 2020-2021
195194,,Female,ACLO Card 2020-2021
213053,,Female,ACLO Card 2020-2021
221577,,,ACLO Card 2020-2021
221571,,Female,ACLO Card 2020-2021
221579,,Female,ACLO Card 2020-2021
188740,Male,,ACLO Card 2020-2021
221580,Male,,ACLO Card 2020-2021
170520,Male,,ACLO Card 2020-2021
195031,,Female,ACLO Card 2020-2021
221582,,Female,ACLO Card 2020-2021
196062,,Female,ACLO Card 2020-2021
215797,,Female,ACLO Card 2020-2021
221583,Male,,ACLO Card 2020-2021
221584,Male,,ACLO Card 2020-2021
221585,Male,,ACLO Card 2020-2021
214103,,Female,ACLO Card 2020-2021
221418,,Female,ACLO Card 2020-2021
212904,,Female,ACLO Card 2020-2021
220936,Male,,ACLO Card 2020-2021
221592,,Female,ACLO Card 2020-2021
212695,,Female,ACLO Card 2020-2021
221597,Male,,ACLO Card 2020-2021
221540,,Female,ACLO Card 2020-2021
194190,,Female,ACLO Card 2020-2021
144710,Male,,ACLO Card 2020-2021
221605,Male,,ACLO Card 2020-2021
221606,Male,,ACLO Card 2020-2021
221610,,Female,ACLO Card 2020-2021
195511,,Female,ACLO Card 2020-2021
220686,,Female,ACLO Card 2020-2021
196004,,Female,ACLO Card 2020-2021
221614,,Female,ACLO Card 2020-2021
204278,,Female,ACLO Card 2020-2021
204171,,Female,ACLO Card 2020-2021
220227,Male,,ACLO Card 2020-2021
221593,,Female,ACLO Card 2020-2021
221603,,Female,ACLO Card 2020-2021
221430,,Female,ACLO Card 2020-2021
221321,,Female,ACLO Card 2020-2021
221322,,Female,ACLO Card 2020-2021
197122,,Female,ACLO Card 2020-2021
193038,,Female,ACLO Card 2020-2021
221239,,Female,ACLO Card 2020-2021
221621,Male,,ACLO Card 2020-2021
220992,Male,,ACLO Card 2020-2021
221625,,Female,ACLO Card 2020-2021
203673,,Female,ACLO Card 2020-2021
210126,Male,,ACLO Card 2020-2021
220050,,Female,ACLO Card 2020-2021
221626,,Female,ACLO Card 2020-2021
221613,,Female,ACLO Card 2020-2021
161565,Male,,ACLO Card 2020-2021
221360,,Female,ACLO Card 2020-2021
221615,Male,,ACLO Card 2020-2021
221628,,Female,ACLO Card 2020-2021
221627,,Female,ACLO Card 2020-2021
185976,,Female,ACLO Card 2020-2021
189005,,Female,ACLO Card 2020-2021
217008,Male,,ACLO Card 2020-2021
221629,Male,,ACLO Card 2020-2021
212615,,Female,ACLO Card 2020-2021
221631,Male,,ACLO Card 2020-2021
221283,Male,,ACLO Card 2020-2021
221634,,Female,ACLO Card 2020-2021
185708,,Female,ACLO Card 2020-2021
221617,,Female,ACLO Card 2020-2021
214959,Male,,ACLO Card 2020-2021
221635,,Female,ACLO Card 2020-2021
221362,,Female,ACLO Card 2020-2021
221638,Male,,ACLO Card 2020-2021
221639,Male,,ACLO Card 2020-2021
205387,,Female,ACLO Card 2020-2021
220738,,Female,ACLO Card 2020-2021
221640,,Female,ACLO Card 2020-2021
221641,,Female,ACLO Card 2020-2021
221642,,Female,ACLO Card 2020-2021
221600,Male,,ACLO Card 2020-2021
221643,Male,,ACLO Card 2020-2021
221258,,Female,ACLO Card 2020-2021
221017,,Female,ACLO Card 2020-2021
216155,,Female,ACLO Card 2020-2021
188423,,Female,ACLO Card 2020-2021
220797,Male,,ACLO Card 2020-2021
198947,Male,,ACLO Card 2020-2021
203194,,Female,ACLO Card 2020-2021
194948,,Female,ACLO Card 2020-2021
203407,,Female,ACLO Card 2020-2021
194357,,Female,ACLO Card 2020-2021
188372,,Female,ACLO Card 2020-2021
221649,Male,,ACLO Card 2020-2021
212977,Male,,ACLO Card 2020-2021
221652,,Female,ACLO Card 2020-2021
195445,,Female,ACLO Card 2020-2021
214623,Male,,ACLO Card 2020-2021
188515,,Female,ACLO Card 2020-2021
191430,,Female,ACLO Card 2020-2021
206238,,Female,ACLO Card 2020-2021
