date,event_name,event_type,notes
2019-01-21,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-01-22,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-01-23,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-01-24,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-01-25,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-03-25,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-03-26,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-03-27,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-03-28,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-03-29,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-04-19,Good Friday,Public holiday,
2019-04-21,Easter (Sun & Mon),Public holiday,
2019-04-22,Easter (Sun & Mon),Public holiday,
2019-04-27,King's Day,Public holiday,
2019-05-05,Liberation Day,Public holiday,
2019-05-30,Ascension Day,Public holiday,
2019-06-09,Whit Sunday,Public holiday,
2019-06-10,Whit Monday,Public holiday,
2019-06-24,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-06-25,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-06-26,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-06-27,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-06-28,Exam Week,Exams,Assumed end-of-block exam week (2018-2019)
2019-10-28,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2019-10-29,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2019-10-30,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2019-10-31,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2019-11-01,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2019-12-25,Christmas,Public holiday,
2019-12-26,Christmas,Public holiday,
2020-01-01,New Year's Day,Public holiday,
2020-01-20,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-01-21,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-01-22,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-01-23,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-01-24,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-03-23,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-03-24,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-03-25,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-03-26,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-03-27,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-04-10,Good Friday,Public holiday,
2020-04-12,Easter (Sunday),Public holiday,
2020-04-13,Easter (Monday),Public holiday,
2020-04-27,King's Day,Public holiday,
2020-05-05,Liberation Day,Public holiday,
2020-05-21,Ascension Day,Public holiday,
2020-05-31,Whit Sunday,Public holiday,
2020-06-01,Whit Monday,Public holiday,
2020-06-22,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-06-23,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-06-24,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-06-25,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-06-26,Exam Week,Exams,Assumed end-of-block exam week (2019-2020)
2020-08-17,Retake exams,Exams,Resit period
2020-08-18,Retake exams,Exams,Resit period
2020-08-19,Retake exams,Exams,Resit period
2020-08-20,Retake exams,Exams,Resit period
2020-08-21,Retake exams,Exams,Resit period
2020-08-24,Retake exams,Exams,Resit period
2020-08-25,Retake exams,Exams,Resit period
2020-08-26,Retake exams,Exams,Resit period
2020-08-27,Retake exams,Exams,Resit period
2020-08-28,Retake exams,Exams,Resit period
2020-10-26,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2020-10-27,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2020-10-28,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2020-10-29,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2020-10-30,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-01-25,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-01-26,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-01-27,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-01-28,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-01-29,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-03-22,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-03-23,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-03-24,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-03-25,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-03-26,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-04-02,Good Friday,Public holiday,
2021-04-04,Easter (Sunday),Public holiday,
2021-04-05,Easter (Monday),Public holiday,
2021-04-27,King's Day,Public holiday,
2021-05-05,Liberation Day,Public holiday,
2021-05-13,Ascension Day,Public holiday,
2021-05-23,Whit Sunday,Public holiday,
2021-05-24,Whit Monday,Public holiday,
2021-06-21,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-06-22,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-06-23,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-06-24,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-06-25,Exam Week,Exams,Assumed end-of-block exam week (2020-2021)
2021-10-25,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2021-10-26,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2021-10-27,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2021-10-28,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2021-10-29,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-01-24,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-01-25,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-01-26,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-01-27,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-01-28,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-03-21,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-03-22,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-03-23,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-03-24,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-03-25,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-04-15,Good Friday,Public holiday,
2022-04-17,Easter (Sunday),Public holiday,
2022-04-18,Easter (Monday),Public holiday,
2022-04-27,King's Day,Public holiday,
2022-05-05,Liberation Day,Public holiday,
2022-05-26,Ascension Day,Public holiday,
2022-06-05,Whit Sunday,Public holiday,
2022-06-06,Whit Monday,Public holiday,
2022-06-20,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-06-21,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-06-22,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-06-23,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
2022-06-24,Exam Week,Exams,Assumed end-of-block exam week (2021-2022)
